Date,Event
1915-05-01,The Panama Canal Zone border is redefined between Panama and the United States of America resulting in slight territory changes.
1915-05-27,The United States of America annexes some more land around the Rio Chagres mouth in the Panama Canal Zone due to the Hay–Bunau-Varilla Treaty.
1915-10-18,The German Empire creates the Government General of Warsaw from the parts of Poland conquered by the Russian Empire.
1915-12-08,"The United States of America annexes a triangle of island between the Rio Chagres, Caribbean Sea and the Panama Canal Zone."
1915-12-12,Hongxian proclaims the Empire of China. Beijing is the capital.
1916-03-22,The Empire of China is abolished.
1916-11-05,Germany and Austria-Hungary proclaim the establishment of the Kingdom of Poland. Warsaw is the capital.
1917-03-15,The Provisional Government of Russia supersedes the Russian Empire in the wake of the February Revolution.
1917-03-31,"Under the Treaty of the Danish West Indies, the United States of America acquires the Danish West Indies (excluding Water Island) from the Kingdom of Denmark, renaming them the United States Virgin Islands."
1917-04-12,The Autonomous Governorate of Estonia is created from the Governorate of Estonia and some of the Governorate of Livonia of the Russian Empire.
1917-07-01,Xuantong is reinstalled as Emperor of China in an event now called the Manchu Restoration.
1917-07-12,End of the Manchu Restoration in China.
1917-09-14,The Russian Republic supersedes the Provisional Government of Russia.
1917-11-07,The Russian Soviet Federative Socialist Republic supersedes the Russian Republic.
1917-11-28,"The Provincial Assembly of the Autonomous Governorate of Estonia declares itself to be the only legally elected and constituted authority in Estonia, de facto declaring sovereignty from the Russian Soviet Federative Socialist Republic. The Provincial Assembly is thereafter forced underground by the Russian SFSR powers which continues to treat Estonia as an autonomous, but not sovereign governorate."
1917-12-02,The Emirate of Chechenia declares its independence from the Russian Soviet Federative Socialist Republic. Vedeno is the capital.
1917-12-06,The Republic of Finland gains independence from the Russian Soviet Federative Socialist Republic. Helsinki is the capital.
1917-12-22,The Independent State of Flanders declares its independence from the Kingdom of Belgium. Brussels is the capital.
1918-01-22,The Ukrainian People's Republic gains independence from the Russian Soviet Federative Socialist Republic. Kiev is the capital.
1918-01-03,"After a plebiscite in Narva on 23 December 1917, the town, including its Ivangorod (Jaanilinn) district across the Narva River, is ceded from the Saint Petersburg Governorate to the Autonomous Governorate of Estonia."
1918-02-16,The State of Lithuania declares its independence from the Russian Soviet Federative Socialist Republic. Vilnius is named the capital despite occupation by the Kingdom of Poland.
1918-02-24,The Republic of Estonia declares independence from the Russian Soviet Federative Socialist Republic. Tallinn is the capital.
1918-03-03,The Treaty of Brest-Litovsk creates many new states out of the western Russian Empire.
1918-03-12,The Russian Soviet Federative Socialist Republic moves its capital from Petrograd to Moscow.
1918-03-25,The Abkhazian Republic (Abkhazia) gains independence from the Russian Soviet Federative Socialist Republic. Sukhumi is the capital.
1918-03-27,The Union of Bessarabia with Romania is proclaimed by the Treaty of Paris (1920).
1918-04-19,The Transcaucasian Democratic Federative Republic declares independence from Russian Soviet Federative Socialist Republic and annexes the Abkhazian Republic (Abkhazia).
1918-04-22,The Transcaucasian Democratic Federative Republic gains independence from the Russian Soviet Federative Socialist Republic. Tbilisi is the capital.
1918-05-11,The Mountainous Republic of the Northern Caucasus annexes the Emirate of Chechenia.
1918-05-26,The Democratic Republic of Georgia secedes from the Transcaucasian Democratic Federative Republic. Tbilisi is the capital.
1918-05-28,Armenia and the Azerbaijan Democratic Republic dissolve the Transcaucasian Democratic Federative Republic. Yerevan and Baku are the respective capitals.
1918-05-30,Armenia changes its name to the Democratic Republic of Armenia.
1918-07-09,The Kingdom of Lithuania supersedes the State of Lithuania.
1918-07-10,The Russian Socialist Federative Soviet Republic supersedes the Soviet Russian Republic.
1918-07-12,The United States of America annexes 2.6 hectares (6.4 acres) of land at Punta Paitilla for the Panama Canal Zone.
1918-07-25,The Kingdom of Belgium reabsorbs the Independent State of Flanders.
1918-08-21,The United States of America annexes land between Rio Chagres and Quebrada Majagual for the Panama Canal Zone.
1918-10-29,"The State of Slovenes, Croats and Serbs proclaims independence from the Austro-Hungarian Empire. Zagreb is the capital."
1918-10-31,The Kingdom of Hungary declares the monarchy abolished. Budapest is the capital.
1918-11-01,The Mutawakkilite Kingdom of Yemen (North Yemen) gains independence from the Ottoman Empire. Sana'a becomes its capital.
1918-11-02,The Republic of Lithuania supersedes the Kingdom of Lithuania.
1918-11-10,The Republic of Alsace-Lorraine is proclaimed. Strasbourg is the capital.
1918-11-12,The Republic of German-Austria is proclaimed. Vienna is the capital.
1918-11-14,The Republic of Poland supersedes the Kingdom of Poland.
1918-11-15,"The Kingdom of Serbia invades the short-lived Banat Republic and divides it between the Kingdom of Serbs, Croats and Slovenes and Romania."
1918-11-16,The Hungarian People's Republic supersedes the Kingdom of Hungary.
1918-11-18,The Republic of Latvia gains independence from the Russian Soviet Federative Socialist Republic. Riga is the capital.
1918-11-22,France annexes the Republic of Alsace-Lorraine.
1918-11-25,The de facto province of Vojvodina votes to join with the Kingdom of Serbia.
1918-11-28,The Kingdom of Serbia annexes the Kingdom of Montenegro.
1918-11-29,The Commune of the Working People of Estonia is established as a puppet state in Soviet Russian-occupied Estonia.
1918-12-01,"Iceland, a dependent territory of the Kingdom of Denmark with home rule, becomes the fully sovereign Kingdom of Iceland in personal union with Denmark. Reykjavík is the capital."
1918-12-11,The Slovak People's Republic is established.
1918-12-29,"The Slovak People's Republic is disestablished, merged into the First Czechoslovak Republic."
1919-01-01,The Socialist Soviet Republic of Byelorussia supersedes the Belarusian People's Republic. Minsk and Smolensk remain joint capitals.
1919-01-08,The Hutsul Republic is established.
1919-02-27,The Lithuanian-Belorussian Soviet Socialist Republic supersedes the Socialist Soviet Republic of Byelorussia. Vilnius is the capital.
1919-03-01,The Oriental State of Uruguay changes its name to the Oriental Republic of Uruguay.
1919-03-21,The Hungarian Soviet Republic supersedes the Hungarian People's Republic.
1919-04-06,The Bavarian Soviet Republic supersedes the People's State of Bavaria.
1919-04-19,"Poland occupies Vilnius, which is disputed by the Lithuanians."
1919-05-03,The Free State of Bavaria supersedes the Bavarian Soviet Republic.
1919-05-06,The Kionga Triangle is assigned to Portugal as a mandate.
1919-05-07,German New Guinea and the Bismarck Archipelago are assigned to Australia as a mandate.
1919-05-30,Ruanda and Urundi (minus Kisaka district) are assigned to Belgium as a mandate.
1919-06-11,"The Hutsul Republic is disestablished, incorporated into the First Czechoslovak Republic."
1919-06-28,"In the aftermath of World War I, the Treaty of Versailles and the Little Treaty of Versailles are signed, by the terms of which:
Eupen-Malmedy and Neutral Moresnet are ceded to Belgium.
Alsace-Lorraine is officially ceded to FranceFrance.
The Second Polish Republic is established in place of the puppet Kingdom of Poland. Most of Posen and West Prussia are ceded to Poland by Germany.
Memel and Saarland are put under international administration.
Plebiscites are provided for in Schleswig and Upper Silesia.
Danzig and the surrounding area are superseded by the Free City of Danzig, which is administered by the League of Nations."
1919-07-10,France and the United Kingdom agree on a frontier between their mandates in the Cameroons.
1919-08-02,The Hungarian People's Republic supersedes the Hungarian Soviet Republic.
1919-08-08,Afghanistan declares its independence from the United Kingdom.
1919-08-11,The German Reich supersedes the German Empire.
1919-09-10,"Austria signs the Treaty of Saint-Germain-en-Laye, by the terms of which:
Eastern Galicia is ceded to PolandPoland.
South Tyrol, Trentino, Trieste, and Istria are ceded to ItalyItaly.
Romanian sovereignty over Bukovina is recognized (union declared on 28 November 1918).
The independence of Poland, CzechoslovakiaCzechoslovakia, and the Kingdom of Serbs, Croats and Slovenes is recognized."
1919-09-12,The Bonin–Pichon agreement transfers two desert strips from French control to Italian Libya.
1919-09-18,The United States of America annexes the island of Largo Remo for the Panama Canal Zone.
1919-09-25,Spitsbergen is awarded to Norway.
1919-11-27,"Bulgaria signs the Treaty of Neuilly-sur-Seine, by the terms of which:
Western Thrace is ceded to the Entente.
The Kingdom of Serbs, Croats and Slovenes is recognized and a small amount of land along the western border is ceded to it.
Dobruja is returned to the Kingdom of Romania."
1920-01-10,The United Kingdom officially takes over administration of German East Africa and changes its name to Tanganyika.
1920-02-02,"The Estonian War of Independence ends with the Treaty of Tartu, which awards areas around Ivangorod (Jaanilinn) and Pechory (Petseri) from Soviet Russia to Estonia."
1920-02-29,The Kingdom of Hungary supersedes the Hungarian Republic.
1920-04-06,The Far Eastern Republic is established. Chita becomes the capital.
1920-04-26,The Khorezm People's Soviet Republic supersedes the Khanate of Khiva.
1920-04-28,The Azerbaijani Soviet Socialist Republic supersedes the Azerbaijan Democratic Republic.
1920-06-04,"Hungary signs the Treaty of Trianon, by the terms of which:
Transylvania and parts of Banat, Crișana, and Maramureș became part of the Kingdom of Romania.
Czechoslovakia is recognized.
The Kingdom of Serbs, Croats and Slovenes is recognized."
1920-06-05,The Socialist Soviet Republic of Gilan declares independence from the Qajar Iran. The capital is Rasht.
1920-07-09,Denmark officially incorporates Northern Schleswig following a plebiscite held earlier in the year.
1920-07-23,The United Kingdom creates the Colony of Kenya from most part of the East Africa Protectorate.
1920-09-25,The Sultanate of Muscat and Oman is reunified through an agreement which grants substantial autonomy and self-government to the Imamate of Oman but recognizes the sovereignty of the Sultanate of Muscat.
1920-10-08,The Bukharan People's Soviet Republic supersede the Emirate of Bukhara.
1920-11-29,The Armenian Soviet Socialist Republic supersedes the Democratic Republic of Armenia.
1921-02-25,The Georgian Soviet Socialist Republic supersedes the Democratic Republic of Georgia.
1921-03-18,"The Peace of Riga defines new borders between Poland and Soviet Russia, Soviet Ukraine, and Soviet Belarus."
1921-06-01,France reorganizes French West Africa and the colony of Mauritania is established.
1921-06-05,The Socialist Soviet Republic of Gilan is renamed to the Persian Socialist Soviet Republic.
1921-08-14,The Tuvan People's Republic supersedes Tannu Uriankhai and changes the name of its capital from Belotsarsk to Kyzyl.
1921-09-18,The Rif Republic is declared in Spanish Morocco with no recognition.
1921-10-12,Upper Silesia is divided between Poland and Germany.
1921-10-13,"In the Treaty of Kars, Turkey relinquishes claims to Armenia but gains the area around Kars and southern Achara."
1921-11-02,The Emirate of Jabal Shammar is defeated and annexed by the Sultanate of Nejd after the Conquest of Ha'il.
1921-11-22,The United Kingdom recognizes the independence of Afghanistan.
1922-02-28,The Kingdom of Egypt gains independence from the United Kingdom. Cairo is the capital.
1922-03-12,"The Georgian Soviet Socialist Republic, Azerbaijani Soviet Socialist Republic, and the Armenian Soviet Socialist Republic unite to form the Transcaucasian Socialist Federative Soviet Republic. Baku and Yerevan yield to Tbilisi as the capital."
1922-11-15,The Far Eastern Republic is disestablished and merged with the Russian Socialist Federative Soviet Republic.
1922-11-17,The Ottoman Empire is dissolved. Its territories are mostly made protectorates of the victorious Allies of World War I.
1922-12-06,The Irish Free State is constituted as an independent Dominion formed through the secession of the island of Ireland from the United Kingdom of Great Britain and Ireland. Dublin is the capital.
1922-12-08,Northern Ireland secedes from the Irish Free State to again form a constituent country of the United Kingdom of Great Britain and Ireland.
1922-12-30,"The Russian Socialist Federative Soviet Republic, the Transcaucasian Socialist Federative Soviet Republic, the Ukrainian Soviet Socialist Republic, and the Byelorussian Soviet Socialist Republic unite to form the Union of Soviet Socialist Republics (Soviet Union). Tbilisi, Kharkov, and Smolensk yield to Moscow as the capital."
1923-02-01,The United States of America annexes the future location of Madden Lake for the Panama Canal Zone.
1923-10-29,The Republic of Turkey is established following the fall of the Ottoman Empire. Ankara is the capital.
1923-11-15,"Honduras claims Swan Islands, creating a dispute with the United States of America."
1924-02-17,The Bukharan People's Soviet Republic joins the Soviet Union.
1924-10-27,The Khorezm People's Soviet Republic joins the Soviet Union.
1924-11-26,The Mongolian People's Republic is established. Ulan Bator is the capital.
1925-01-01,The Kingdom of Norway changes the name of its capital from Kristiania to Oslo.
1925-01-22,The Republic of Albania supersedes the Principality of Albania.
1925-03-04,The United States of America annexes Swains Island as part of American Samoa.
1925-06-29,"Britain transfers control of northern Jubaland to Italy, becoming the Italian colony of Oltre Giuba."
1925-07-01,The Republic of China relocates its provisional capital from Nanking to Canton.
1925-07-17,A treaty between the United States of America and Canada slightly adjusts the border between the two. Overall the United States gained between 30 and 35 acres.
1925-09-01,Tarata is returned to Peru by Chile.
1925-12-06,"Britain adjusts the Egyptian border in favor of Italian Libya, giving it the Jarabub and Kufra oases."
1926-05-27,The Rif Republic is dissolved by Spanish and French occupation forces in Morocco.
1926-06-09,Afghanistan becomes the Kingdom of Afghanistan.
1926-06-30,Oltre Giuba is incorporated into Italian Somaliland.
1927-01-29,"Within the Nejd and Hejaz, the Sultanate of Nejd is renamed the Kingdom of Nejd and its Dependencies."
1927-04-12,The United Kingdom of Great Britain and Ireland changes its name to the United Kingdom of Great Britain and Northern Ireland.
1927-05-09,The Commonwealth of Australia moves its seat of parliament from Melbourne to the purpose-built capital of Canberra.
1927-07-18,The United States of America annexes 38 hectares (94 acres) of Taboga and Taboguilla for the Panama Canal Zone.
1927-10-26,Two bancos along the Colorado River are ceded from Mexico to the United States of America.
1927-10-28,The Republic of Ararat declares independence from Turkey.
1928-04-04,"The United States of America cedes Palmas, American Territory of Philippines to the Netherlands after the Island of Palmas Case."
1928-04-23,41 bancos are exchanged between Mexico and the United States of America.
1928-05-26,The United States of America annexes the Las Adjuntas banco from Mexico.
1928-09-01,The Kingdom of Albania supersedes the Republic of Albania.
1928-09-24,"The United States of America annexes 3 hectares (7.4 acres) of land at El Cerro de Doscientos Pies (""200-Foot Hill"") near Las Minas Bay for the Panama Canal Zone."
1928-12-29,"The Republic of China establishes Nanking as its official capital, later codified in the Constitution of the Republic of China."
1929-01-06,"The Kingdom of Serbs, Croats and Slovenes is renamed the Kingdom of Yugoslavia."
1929-02-02,Norway claims Peter I Island.
1929-02-11,Vatican City gains independence from the Kingdom of Italy. Vatican City itself is the capital.
1929-06-03,The Treaty of Lima in which Chile and Peru draw a new border in which Arica and its surrounding towns remains in Chile and Tacna and surrounding towns is set to be given back to Peru.
1929-08-28,Tacna and its surrounding territory is returned to Peru by Chile.
1929-10-03,"The Kingdom of Yugoslavia supersedes the Kingdom of Serbs, Croats and Slovenes."
1930-02-04,"The United States of America annexes the La Rana, El Pilon, Ojinaga, and El Mulato bancos from Mexico and Mexico annexes the Galindo, Haciendita, and San Rafael bancos from the United States."
1930-02-19,"The United States of America annexes the Aguilar, Tabalopa, Quibira, and Los Puliques bancos from Mexico."
1930-03-03,"The United States of America annexes the Bermudez, Compania Agricola, Charles Davis, Calero, Diablo, and Guayuco bancos from Mexico and Mexico annexes the Azcarate, Arroyo del Alamo, Newman, and Pruitt bancos from the United States."
1930-03-18,The United States of America annexes the Weber banco from Mexico.
1930-03-21,The United States of America annexes the San Lorenzo banco from Mexico.
1930-04-09,The United States of America annexes the Gallego and Nunez bancos from Mexico.
1930-04-25,"The United States of America annexes the La Cachanilla, Rincon de Marcelino, and Camp Rice bancos from Mexico."
1930-04-28,The United States of America annexes the El Carino banco from Mexico.
1930-05-01,The United States of America annexes the Las Piedras and Max Muller bancos from Mexico.
1930-07-22,The United States of America annexes 25 hectares (62 acres) on Jicarita Island and 60 hectares (148 acres) at Punta Morro de Puercos for the Panama Canal Zone.
1930-10-01,British Weihaiwei is returned to China.
1930-11-11,"Norway rescinds its claim to the Sverdrup Islands; in return, the United Kingdom recognizes the Norwegian claim to Jan Mayen."
1931-01-15,The Belgian concession within the city of Tientsin is returned to China.
1931-01-28,France officially annexes Isla de la Pasión as Clipperton Island.
1931-04-14,The Second Spanish Republic supersedes the Monarchy of Spain. The Catalan Republic subsequently declares independence from Spain.
1931-04-15,The United States of America annexes small areas around the Madden Dam for the Panama Canal Zone.
1931-04-28,The Catalan Republic is taken over by Spain.
1931-05-20,The United States of America annexes the La Pascualilla and Morales bancos from Mexico.
1931-05-22,Mexico annexes the Ochoa and El Jazmin bancos from the United States of America.
1931-06-12,The Australian territories of North Australia and Central Australia merge to form the Northern Territory.
1931-07-10,Norway claims territory in eastern Greenland as Erik the Red's Land.
1931-11-07,The Chinese Soviet Republic is established by the Chinese Communist Party as a group of discontiguous territories within the larger Republic of China.
1931-12-11,"By the Statute of Westminster 1931, the Irish Free State and the Union of South Africa become fully sovereign states."
1932-02-18,The Empire of Japan takes over northeastern China and establishes Manchukuo. Hsinking becomes its capital.
1932-02-25,The United States of America annexes the El Morillo banco from Mexico.
1932-05-12,The United States of America annexes the Diablo Segundo banco from Mexico.
1932-05-17,Panama annexes a small area of land at Punta Paitilla from the United States' Panama Canal Zone.
1932-06-04,The Republic of Chile changes its name to the Socialist Republic of Chile.
1932-06-24,"Following the revolution, Kingdom of Siam supersedes the Rattanakosin Kingdom. Bangkok remains the capital."
1932-09-13,The Socialist Republic of Chile changes its name back to the Republic of Chile.
1932-09-23,The personal union of the Kingdom of Nejd and Hejaz unify to form the Kingdom of Saudi Arabia.
1932-10-03,The Iraqi Kingdom (Iraq) gains independence from the United Kingdom. Baghdad is the capital.
1932-12-13,The United States of America annexes the Mangsee Island and seven of the Turtle Islands into the Commonwealth of the Philippines from the United Kingdom.
1933-03-23,Nazi Germany supersedes the Weimar Republic.
1933-04-05,Erik the Red's Land in Greenland is ceded by Norway to Denmark.
1933-06-13,The United Kingdom cedes Enderby Land and Victoria Land to Australia as the Australian Antarctic Territory.
1933-07-17,Mexico annexes the Hollinsworth banco from the United States of America.
1933-11-12,A Uyghur independence movement creates the Islamic Republic of East Turkistan. Kashgar is the capital.
1934-01-01,"Italy creates Italian Libya with the merger of the colonies of Tripolitania, Cyrenaica, and Fezzan. The capital is Tripoli."
1934-02-06,The Islamic Republic of East Turkistan is taken over by the Republic of China.
1934-02-27,The United States of America annexes the Villarreales Segundo banco from Mexico.
1934-03-01,Manchukuo is renamed Manchutikuo.
1934-04-06,"Spain establishes a protectorate in Ifni, in territory it had claimed since 1860."
1934-10-06,The Catalan State proclaims itself independent of the Spanish Republic. Barcelona is the capital.
1934-10-07,The Catalan State is disestablished and reabsorbed into the Spanish Republic.
1934-10-15,The Chinese Soviet Republic is annexed by the Republic of China.
1935-01-07,"The Franco-Italian Agreement of 1935 de facto transfers the Aouzou Strip from French control to Italian control. The land is never officially ceded however, creating a territorial dispute that would ultimately lead to the 1978–87 Chadian–Libyan conflict. The dispute was solved by a 1994 International Court of Justice case, that stated the land belonged to Chad – the international border was what existed prior to the aforementioned 1935 agreement."
1935-03-21,Reza Shah Pahlavi changes the name of the Imperial State of Persia to the Imperial State of Iran.
1935-03-26,Jarvis Island is transferred from the United Kingdom to the United States.
1935-04-01,The Territory of the Saar Basin is taken over by Nazi Germany.
1935-10-03,"Italy invades Ethiopia, beginning the Second Italo-Ethiopian War."
1935-11-03,The Hellenic Republic is renamed the Kingdom of Greece after a coup d'état and a referendum staged by Georgios Kondylis to restore the monarchy under King George II of Greece.
1935-11-15,The United States territory of the Philippines becomes the semi-independent Commonwealth of the Philippines.
1935-11-25,The East Hebei Autonomous Government is created in China after the invasion of eastern Hebei by the Empire of Japan. Tongzhou is the capital.
1936-03-07,"Nazi Germany unilaterally remilitarises the Rhineland region, which was made demilitarised after the First World War."
1936-05-09,The Ethiopian Empire is taken over by Italy as Italian Ethiopia following the Italian victory in the Second Italo-Abyssinian War.
1936-06-01,"The Italian colonies of Eritrea, Ethiopia, and Italian Somaliland merge to form Italian East Africa."
1936-07-17,"Spanish Nationalist forces take over Spanish Morocco, starting the Spanish Civil War."
1936-07-23,The Spanish State under Nationalist rebel leader Francisco Franco proclaims itself the sole government of Spain.
1936-08-06,The United Kingdom claims Enderbury Island and McKean Island and reasserts its claim to Kanton Island.
1936-10-14,Spanish Guinea is taken over by Spanish Nationalist forces.
1936-12-02,"In the French Mandate of Syria, the Jabal ad-Druze is integrated into the Syrian Republic."
1936-12-05,"In the French Mandate of Syria, the Alawite State is integrated into the Syrian Republic."
1936-12-22,"The Anglo-Egyptian Treaty of 1936 is ratified and all British troops are withdrawn from Egypt, except for within the Suez Canal Zone."
1937-04-01,The Aden Settlement is separated from British India and changed into the Aden Colony and Protectorate. The city of Aden becomes the capital.
1937-11-22,The Mongol Military Government is renamed the Mongol United Autonomous Government.
1937-12-05,"The Japanese invade Shanghai, creating the Dadao Municipal Government of Shanghai."
1937-12-14,The Japanese invasion of China continues with the creation of the Provisional Government of the Republic of China.
1937-12-29,The Irish Free State changes its name to Ireland.
1938-01-12,"Tristan da Cunha becomes a dependency of Saint Helena, a crown colony of the United Kingdom."
1938-01-14,"Norway lays claims in Antarctica as Queen Maud Land, which lies between 20° west and 45° east."
1938-03-08,The United States claims the Canton and Enderbury Islands.
1938-03-13,Nazi Germany annexes the Federal State of Austria in the Anschluss. Vienna yields to Berlin as the capital.
1938-03-28,The Reformed Government of the Republic of China is formed after Japan invades northeastern China.
1938-07-29,The Australian Federal Capital Territory is renamed the Australian Capital Territory.
1938-09-07,The area known as Hatay gains independence from French Syria as the Hatay State.
1938-09-30,The Munich Agreement transfers the Sudetenland from Czechoslovakia to Germany and gives parts to Hungary and Poland.
1938-10-03,Transfer by the United Kingdom to Ireland of all Treaty Ports is completed.
1939-03-14,Czechoslovakia is dissolved as it is occupied by Nazi Germany. Germany establishes Slovak State as a puppet state.
1939-03-15,"Carpatho-Ukraine is proclaimed but remains unrecognized, and the same day is occupied and annexed by Hungary."
